"","x"
"1","Original Review: The phone is really like-new. Looks great works well so far. It was well-protected in the beastly packaging it arrived in. We received it today and immediately added it to our AT&T account without any problem. Our one main issue****** The charger that came with it doesn't work!!!! Grrrr.Update: WOW what a piece of junk!!! I can't begin to describe the problems with this phone. We have had it for 3 days and so far it has we've noticed the right side doesn't respond well to touch (almost impossible to type the letter P on the keyboard), it has started shutting off randomly (currently won't turn back on), it poltergeist freaks out on us (open/close apps and type gibberish on its own, etc). Last time it shut off involuntarily, we saw stripes across the screen before it faded to black. This thing is a dud. SO disappointed. My husband needs this phone for work, so now he is in a really tough situation!!! We will see if their customer service is any good....I'll report back soon. -.-
            "
"2","<U+00A0>I bought one in Jan, 2018 and the iPhone 5C I received was in cosmetically great condition. The biggest flaw is that the BATTERY BLEW UP inside just after using it for 4 months, late April 2018. Battery is pushing up on glass and will no longer power on. Also I am outside the return window, which closed on Feb 9, 2018 and product support window, closed on Mar 11, 2018. This is supposed to be ""Certified Refurbished"" ? After paying $149.99 never again will I buy from this seller or ""Certified Refurbished"". Don't waste your time, buy from Apple or elsewhere that details what ""Certified Refurbished"" means to them.
            "
"3","I have read all the poor reviews. This was not the case with the phone I bought. Although I am unsure if they sent me a 8GB or 16GB (I ordered 16) It worked completely fine. It said it was a AT&T phone on the network but worked perfectly for my T-Mobile service. I never had not one problem at all. Sadly about 6 months after I bought I dropped it in water and it hasn't worked since. But that was my fault! I will not purchase again bc of poor reviews and fear of being one of the unlucky customers. Phone was great & I loved it!
            "
"4","This phone came in perfect condition, it is like new. No dust even in the crevices or earpiece. Can not find a scratch or ding anywhere. Very happy with the phone. Battery life is 4-5 hours of continuous use but last all day, even with teenager usage.
            "
"5","It is always great when you buy something and it is EXACTLY as presented and maybe even better. The phone arrived (without a lot of extra packaging I might add) and looks brand new and works great. I took it to the T-Mobile store for activation and the clerk took it through all the paces (stolen - NO, needs a sim card - No, is memory sufficient - YES) and finally reluctantly activated my sim card and let me walk out of the store hundreds of dollars richer and very happy!!
            "
"6","So far, so good. Will update my review, just in case. It is my first time to order a refurbished phone. It is also my first time to buy an iPhone. My last phone was a Samsung Galaxy S5. So, I picked the 5C as an introduction to iPhones. I do have an iPad mini 3 that I had now synced it with. I was very worried, I have to admit. The phone turned out looking brand new and working just fine.
            "
"7","Update: I originally gave this phone a 5 star review. Now here we are 7 months later and the phone doesn't work, it won't turn on at all. I've done the hard reset before when it did this about 2 months ago and it worked. That reset method doesn't work this time, I plan on taking it to the Apple store for a diagnostic. DO NOT BUY THIS PHONE!!! I wouldn't worth the risk if I had to do it all over again. Save yourself the $200+.I bought this phone for my son as a Christmas gift and the phone came in excellent condition and it was easy to setup. I just went to the T-Mobile store and they just cut his current SIM card down to fit this phone and we were all set. My son loves the phone and the features!
            "
"8","The refurb does not seem to be the best. The screen is literally popping off the phone. The glass is not broken, the case is not cracked the screen just raises up on it's own.Worked great for about 8 weeks then separation from the body started happening. Phone looks new otherwise.It has been kept in a Speck case.It is a shame to have a nice looking phone but have a need to keep it patched together with tape.
            "
"9","I was a little sceptic to get a certified refurbished iphone but as it is getting discontinued and I really like the compact size of this model, I took the risk.  I'm really glad about my decision. The iphone really is as described ""look like new and work like new"".  The supplier, VIP Outlet Inc, is doing a tremendous refurbishment work, and if the opportunity comes I would not hesitate to try with them again! Continue doing the best as you're doing!
            "
"10","The phone turns on and has a decent battery life - however it has a pink hue to the screen. It also has scratches to all four corners. I requested a replacement, but they can only send a replacement once they have received the defective phone. So, my son would be without a phone for an indefinite amount of time. With his health issues, I am not in a position to have him phoneless. They suggested to purchase another phone and send the defective phone back for a refund.... who has an extra $170 dollars to pay for 2 phones..... if I had that kind of money, I wouldn't have been purchasing him a refurb phone in the first place.....
            "
"11","It looks brand new! Comes with a charger and plastic film on both sides of the phone. Shipped quickly.
            "
"12","In the end, a good deal on a great phone.  However, listing stated it was for GSM (AT&T) ONLY.  When it arrived, first thing I noticed was a Verizon sticker.  Apparently starting with iPhone 5,  Verizon and AT&T phones both have SIM slots (not used if Verizon) - but listing stated otherwise.  KLAMP customer service was easy to deal with, explained the tech and quick considering Christmas season.I am middle aged with a decent income, could get in line with the teenagers and adult ""Lemmings"" every time Apples ""blesses"" the world with a new phone.  But if you wait 12 months or so, you can save $100 - $300 and still have a great phone.Want to have some fun; if you know someone who can't wait for the next iPhone - ask them exactly how they will actually use the new ""features"" they can't live without.  9 out of 10 go blank for about 30 seconds.  Don't misunderstand me, I love the iPhone but these annual ""new"" phones have only minor changes applicable to 80% of the users.  Wait a model or two, then you actually notice the improvements.  Just my opinion - Get Off My Lawn, you kids!  Sincerely, Ward Cleaver.
            "
"13","Great phone. Refurbished, like new. I was concerned because it is a refurbished phone but I have not had any problems at all.
            "
"14","The phone stopped working 4 months later. I don't know why they offer a 3 month warranty. Usually Refurbished items offer a Year. Be careful. The audio stopped working and no longer hear phone calls and it blinks. A month after first getting the phone I dismissed the sound issues thinking I had more time. Guess not. Will never buy Refurb again.
            "
"15","It's an iPhone what else you can say.Worked flawlessly. Item exactly as described. No scratches on the screen powered up perfect.As some one who like green I was very satisfied with color.
            "
"16","DO NOT USE THIS COMPANY.THE PHONE WAS STOLEN!!Amazing it is a prime item and called to get it turned on and Verizon said there is a police report on it, can¡¯t turn on. WOW
            "
"17","Ordered this iPhone as an extra. When it arrived, it had a sticker that read ""Verizon"". I researched the model number and it was a CDMA/GSM phone that supported almost all CDMA/GSM/WCDMA/LTE frequencies. Works great on T-Mobile.Phone arrived in almost perfect condition with a 3rd party cable and charger. I was amazed that the screen was unmarred and the case itself had no scratches.I imagine that receiving a CDMA capable phone in such great condition was the luck of the draw. Definitely worth the money.
            "
"18","Phone was in great condition but returned it because the camera sounds could not be turned off.Update,  apparently all phones that have been refurbished cannot mute camera sound, phone was in good working order and arrived when promised
            "
"19","I used this phone for about a year and it was ok but I have it to a friend for her son to use and now it¡¯s blocked. I¡¯m told the original owner probably stopped making payments on it and there is nothing I can do.
            "
"20","I received my iPhone 5c today it looked great when I first opened it. When I got it it was dead so I put it to charge. After about 30 minutes of charging the screen on the phone started to bow up. I come to the conclusion the battery in it was bad and was swelling up to almost burst. I am now having to pay $60 to get the battery replaced and haven't even got the phone charged all the way yet to see how it works when it is turned on. I bought this phone was my mother and am VERY unhappy with my purchase. It is suppose to be like new and have no problems. Would love to send it back and get it fixed or get another one but I had to wait long enough to get this one in the mail and there is no telling if I send this back and get another one that that one won't be defeated as well.
            "
"21","Wow I am very impressed with this phone. I purchased this phone for my son for Christmas and it was very very nice and new. Although it is refurbished it is just as good as a brand new one and looks even better with  the cute back cover  on the backs of the phone. I was hesitant in buying this due to the fact that it wasn't coming directly from the company but as I read on it really is it is just refurbished. The phone is excellent and I do give this 5 stars I will definitely order from them again!
            "
