"","x"
"1","I¡¯ve seen a lot of bad reviews for this phone based on issues with the seller. Granted, some of those reviews say it took a few weeks for the problems to appear so I¡¯ll edit this if that happens, but wow was I happy with what I got. Not only did it come with a charger (there¡¯s some debate on that in other reviews), but it even had a clear bumper case. That was neither expected nor necessary but I appreciated it (I bought a Unicorn Beetle case which I have used and loved before on other phones). There wasn¡¯t a scratch on this phone and it started working right away for me. The battery seems to be holding up fine. All in all I¡¯d say this seems like a steal. If it self destructs on me in the next few weeks I¡¯ll update this.UPDATE: It's been a few months and a trip overseas since I wrote that initial review, and it remains a solid decision I'm very happy with.
            "
"2","Returning. For one, it was not an unlocked phone. I've had it for a month and the screen has started going black every few minutes, and sometimes it freaks out and tells me I have no way to connect to wifi or cell coverage (despite being somewhere with wifi and usually 4G). I'm returning before the problems escalate.Note- it doesn't come with a charger or with headphones.
            "
"3","Before I even turned it on I tried to put it in a case and saw that the screen had popped out of the casing. The phone wouldn't turn on so I tried to charge it. The cable was loose in the charging port and the phone never powered on!!
            "
"4","Awful. Paid $510 to get a defected camera that does not work. Would not recommend buying from this 3rd party seller. Every time I try to take a picture my phone freezes. Have been trying to reach out to the seller for awhile now and have been unable to contact them.
            "
"5","My son had not had his iPhone 7 for even 3 months when he started experiencing problems.  His phone is well protected with a screen protector and in a case and was not dropped in water.  However, the Home button and keyboard keys stopped functioning.  Since he was unable to even unlock his phone the Apple technician I spoke with online stated a full restore would be needed.  After the restore was complete, an error message appeared stating ""The Home Button May Need Service"".  I was hopeful I would at least be able to setup his phone and update from the Cloud.  But unfortunately, was unable to get beyond the message.  So now I must go to the Apple store in hopes that they will be able to somehow resolve this issue.  I have purchased 2 certified refurbished iPhones in the past, and this is the first time I have any issue or any kind.  But this has been such an incredibly frustrating experience, I can't imagine purchasing another certified refurbished phone.
            "
"6","Just usb cable and charger in box but iphone 7 not in there
            "
"7","I would not recommend this product to anyone. It came scratched, with imitation charger that didn't work, no accessories at all. Don't loose you money.
            "
"8","The refurbished iPhone 7 I ordered for my wife for mother's day was defective. I spent a lot of effort to back up her information and transfer to the new phone, even installed tempered screen protectors, go through the set up process with iPhone, only to discover no signal/service available. i switched sim cards several times and it worked well with my previous iPhones. The unit is defective. I thought refurbished was checked and were good as new. The seller only replied to get my order number and didn't reply again (or is taking too long). I'm not waiting for your reply, I'm just returning everything.
            "
"9","I just got this phone and it¡¯s amazingggg. Great camera quality and easy to transfer my number from my old phone to here. I got it like it was brand new!! I really enjoy it
            "
"10","The iPhone arrived with minor scratches on the back, but other than that the phone works perfectly fine! I have been using it for awhile and haven't noticed any complications with the battery or anything yet. I am very happy with this purchase!
            "
