"","x"
"13","**UPDATE**After having this phone for 7 months, I have to reduce it to 1 star.  I would not buy again.  The charging port has been flakey (as noted in my original review which is in its original form below) and finally gave up.  Now, something I did not know about this phone is that you cannot replace the charging port without replacing the screen as well.  That's not good, because it's $150 to fix it, and even more if I want to replace the battery.I would definitely look elsewhere for a refurbished phone knowing this now.  Lesson learned - know what repair options are available for the phone you are buying refurbished - assume you'll at least have to replace a battery and charging port (and possibly headphone jack) and make sure they don't make your phone a throwaway if you have to do that.** Original review below **This device looks like new, was unlocked and easy to add to my carrier (Verizon) and I have been using it since the day I got it.  The cons:* Battery is not great, pretty good but does not last more than 1 full day, if I don't charge it at night it's dead the next day* Charging port is a little sketchy, you have to be careful putting it down after plugging it in or it will not make a good connectionAll in all, not a bad buy for a decent phone.  Sure beats buying a new one.
            "
"14","Ordered this product on December 30th 2018, received the phone main home button was dirty and had what looked to be brown crust stuck in it. Buttons Alomg the side of the phone had dirt stuck in them as well. Phone was dingy, did not receive a Samsung charger in it, but rather a charger you would buy in a gas station. Battery life was well the biggest downfall. Phone would only charge to 60%, once I take it off the charger it¡¯s at 5% in about twenty minutes and then dies. Doesn¡¯t hold a charge. Purchased a Samsung charger for it to see if the charger they provided was malfunctioned and it¡¯s definitely the battery. Waste of money. Please take this product down !!
            "
"15","Bought the refurbished white S6, looks and operates like brand new. It seems like a new smart phone model comes out every year, but for someone like me who just wanted to upgrade from a flip phone to a smart phone, this was like going from a beater car to a Mercedes. I'm still impressed by it, it has crisp response time to everything I do, has decent audio level for listening to audiobooks while driving (maybe not with the windows down), and has a good battery life, about a day with normal use. But really, I charge in my office and at home, so it's never been an issue. Doesn't have the battery life of an iPhone maybe, but hey I paid $178 for this baby, and I don't think I would have even noticed the difference between this and a $1,000 phone. The difference would have been lost on me completely. I use the phone for light mobile gaming, music, calls/texts, snapchat, etc. and it does everything fast and reliably.
            "
"16","So far it seems ok. There's a few blue spots on the front cam that I think are dead pixels.The battery life isn't the vast either.But it doesn't freeze like my s5 did.
            "
"17","Battery life is extremely short!
            "
"18","Was worried Id receive a phone that wasnt thoroughly tested but after a week Im happy.  Within 15 minutes of getting the phone I had it connected to walmarts total wireless network.  Another half hour later the data was working.  I did have to call total wireless support to get the APN pushed to the phone correctly.  Battery life is average.. the s6 isnt known for a great battery.  I bought the gold phone and it didnt even have a scratch on it.  The only issue I had is there was a day delay in shipping.. no big deal, amazon communicated the delay and all was well.  I refuse to pay over $200 for a phone and this worked out perfect.. the s6 is a great phone for the money... unless you are one of those who has to look like you have the best in front of your friends.  Oh, I charge the phone in a wireless charger and no heat issues.. just a great phone.
            "
"19","Very good phone for the price since it works so much better then the galaxy s5 in speed and multi tasking. I am able to use things like messagneger, YouTube, and the internet app at the same time all running well with multi split screen. The charger that comes with it is 3rd party wall plug but 1st party in the cable, making the claim it is just like a new phone not as close. The phone it self is like new with no damage on any side of it with every feature working like new. The lack of a sd card is not that big of deal if you back up photos and songs and don't have huge games or way more then a few apps. The battery is good enough to last the whole day if it starts out at 100 and is not used hard. The ultimate disadvantage this phone has for my old s5 is the lack of just putting a new battery in since it is now sealed.The wireless charging works great even in a defender case that had plastic under rubber. I never really notice the phone getting really hot with the case on it so holding it is comfortable.Overall if you are looking for a phone that can do everything you need to do under $200 and won't break or lockup easily, pick this phone up with a defender case form otter box, a glass screen protector if you drop your phone a lot , a battery pack and a fast charger if you are a heavy user.
            "
"20","I purchased the phone and the SIM would not read. I even took it to Verizon to get help but was not able to get it running. I returned it for another one and same problem occurred. I could not, in good conscience, recommend this vendor. Sorry.
            "
"21","This was a Sweet Deal!!The S6 is a great phone for all.Smooth operation. Great camera. Split-screen.Everything about Samsung S6 is beautiful ly laid out for the user. Quick action. Great design also.The phone you can count on. At an amazing price,under $200!! Certified refurbished. Don't miss out on a tremendous deal!!Get one Now.
            "
"22","I bought this in August and by November it started shutting off. I turned it back on by holding down the three reset buttons.  But by December it started shutting down and not turning back on even after hitting the reset buttons.  The battery would also drain quickly and the wifi/mobile data didn't work as well as my previous Samsung Galaxy 4 or my current Galaxy S7. Maybe that's the problem with used phones.  The only reason I kept it for this long was because I had another phone through a local low-cost store and that phone has unlimited data and I had very few problems with wifi/mobile data. I wasted $200.
            "
"23","I love the phone and it's been very reliable. The camera is amazing! There were no marks, scratches or blemishes on mine. I held off for a while before I reviewed it to make sure it wasn't going to die on me. So far, so good... :)
            "
"24","I upgraded from a Samsung Galaxy S4, and the improvements are quite noticeable. This refurbished phone shows no wear. The battery seems adequate, although I do not spend much time on it. I had one minor problem with the charging port--the fit was loose and I had to push the connector in with some force to get a connection. Because of this I could not charge the phone when it was hanging on the dashboard in my car. I called Amazon and they said to take it to a repair shop and they would reimburse me. I did and all it needed was a clean out of the port and a new charging cord which had been damaged by the condition of the port. Amazon was true to their word. The phone is like new and I'm very happy with it. UPDATE: After about six weeks of use the phone began to shutdown and would not come back on.  I found instructions for turning it back on with alternative reboot methods. It was shutting down about once per day which was tolerable, but at about two months, it began shutting down after only minutes or seconds. I'm happy this happened within the Amazon 90-day warranty so I mailed it back to Kiss Electronics who accepted my return with no questions asked.
            "
"25","This phone is amazing! I was initially very scared to order this because when it did it had no reviews for it but I'm glad I did! I've had it for about two months and it works amazing. I can honestly say this is the best phone I ever owned. It was easy to connect it with straight talk and I definitely do not regret my purchase
            "
"26","This phone is okay.  I bought this one to replace my Galaxy S5.  I also bought the same phone for my husband.  He has glitches where certain programs and built-in apps do not work at all or do not work properly.  Same goes for mine.  The screen on my phone has a ""background"" where it looks as though there is another screen behind it constantly.  It's just enough for me to notice that it is there. It's not bad enough for me to go through the hassle of replacing the phone. Guess that's what I get for purchasing refurbished phones.  It's always hit and miss.
            "
"27","The phone came in a weird package but I have to say the phone looks flawless. It works great and I had no problems getting it set up with Verizon.  I was worried by some of the reviews but I took a chance. I gave it 3 stars because the charger it came with isn't the original one and it takes forever to charge. I had to purchase a different one.
            "
"28","Works great, it came in pristine condition. I've used it everyday for a year. Only complaint is after I bought it I got spam calender notifications (which I later found out that anybody with your email can create because Google made it that way, very insecure on Google's part). I disabled the setting in my email that made this possible (which was on on my previous phone with no problem). I recommend factory reseting any phone you buy online yourself, just to make sure it's 100% clean software wise.
            "
"29","So I decided to upgrade from my s4 that I was holding onto due to the power button trying to give up the ghost on me. I found this unlocked Samsung Galaxy S6 in GOLD and was intrigued.When it arrived, I added the SIM Card, got it activated with my carrier (pagepluscellular.com) and started adding my info to it. It was that easy. So far I am very pleased. I haven't had to charge it yet since I got it. I will probably do that this evening.It comes with the phone, the charger cord, brick (for the wall) and the little device to access the card holder.
            "
"30","Ordered from 3rd Party Seller so I was a little worried. Product looked find upon arrival.  I'm not a ""Techy"" so I asked a friend check it out. He opened all the settings and confirmed it has latest security and updates. I  downloaded apps and made a couple of phone calls; no issues.  This is my first ""smart"" device with all the bells and whistles so I really don't have anything to compare it to. Thus far, it has exceeded my expectations with ease of use and function-ability.  I'm huge fan of Amazon, so I will probably always be an Android guy
            "
"31","So far so good! This refurbished Samsung Galaxy 6 arrived in pristine condition.a. The display is sharp and clear, as expected.b. Initially, I was a bit concerned about how quickly the battery got hot. I turned on ""Medium power saving mode"" and it has seemed better ever since.c. I like the 16MP camera, with features like slow or fast motion and virtual 360-degree photos, as well as the capacity to apply ""Pro"" settings.c. No possibility for additional memory card, but I hope 32GB will be enough.d. I purchased it for use in New Zealand, as an unlocked phone. I wasn't sure how to set it for use with my mobile provider, but eventually I got it up and running. For anyone with similar concerns:Under Settings, choose ""Mobile networks"" --> As preferred ""Network mode,"" my local service rep picked GSM (specifically, ""LTE / GSM / UMTS"")  However, at some point, the device automatically reset itself to ""GLOBAL"". Not sure what's optimal?--> Under ""Access Point Names,"" choose ""ADD"" and manually enter the name of your provider. I only filled in the ""Name"" and ""APN"" fields, leaving everything else as ""Not set"" or the default. It seems to be working fine. ?__?However, I think I probably need to refine these settings further, at some point.All in all, very happy with the purchase, especially after adding a tempered glass shield and rubber case so I don't break it, like my last phone.
            "
"32","Battery bad, only lasts an hour or so.  Takes 8 hours to charge with the supplied charger.  Micro usb port is loose so most cords just fall out.  When I complained, the seller said it would cost $20 to replace the battery.  He was off by a lot it will cost $70-80 to replace the battery and I have no idea how much it would cost to fix the USB charging connector.  I really want a replacement, but the only option is to return.  Then my daughter would be without a phone for too long.
            "
"33","I actually love this phone model...however, though it was certified refurbished, it did not update APPS or did it update or show updates available for the systems operation.  It also did not back up properly.  In addition, after shutting the phone off and restarting, I could not receive calls or texts until I initiated a call.  I discovered this after numerous tests to confirm.If the new models work properly this is a good phone, I believe.
            "
"34","The phone came and looked great. I kept it packed up for a couple weeks to give to me daughter for her birthday. Turns out the battery life is only approx 5. hrs and the aux. port doesn't work. Saw my 'return window' was closed, so not thrilled with my purchase. I have bought refurbished phones before with great results, but got burned this time.
            "
"35","The phone arrived in good shape looks like new, works well but the battery does not last a day. I removed many apps, I did not download Facebook because I thought it would make things worse, there's no reason the battery shoulbd not last longer than it is. I'm assuming the battery is bad I have contacted their customer support we will see what happens?Update... Seller responded almost immediately and offered several options, one was to send another phone. Once I receive the new phonei will update my rating.
            "
"36","The phone came a day early which was wonderful. The SIM card we had did not fit. No problem. We went to the Verizon store to get a new SIM card and activate the phone while we were there. Turns out the phone is not unlocked. It was very disappointing. Right now I am waiting on a request to get it unlocked. If it doesn't work, it will obviously be going back. It specifically said Verizon and UNLOCKED so I figured there wouldn't be an issue. Phone looks like it's in great condition so if I can get it unlocked, it was worth it. I just dislike the extra hoops.**Update** Since the phone is an AT&T phone even with the unlock code it still will not work with Verizon. The extra trips to the Verizon Store were frustrating and inconvenient. The Amazon Tech I spoke with was friendly and helpful, but still without a phone and not sure I want to make the gamble of ordering another phone. All around really disappointing.
            "
"37","I am very pleased with the phone. It is in near mint condition (just minor scuffing on the hoe button) and works well. Would definitely recommend!
            "
"38","Got the phone back in May, it came in good condition. Worked fine. Battery life is crap but that's to be expected of the galaxy S6.  Then last night I left it plugged in laying on my nightstand, and come morning the screen wouldn't turn on. Phone still buzzes and gets notifications and stuff, but the screen just stays black. Tried just about every fix I could find online to no avail, it must just have a faulty screen that was overlooked when the phone was being refurbished. Purchase at your own risk.
            "
"39","Had to finally change phones from my Iphone 5C to this as I was just about done dealing with apple nonsense and terrible operating system and over priced phone.I will say there is an adjustment coming from apple IOS to droid. Lots to learn and somethings are not as intuitive as the Iphone but the droid is more customizable and operates much better than the iphone even years after this model was new. I'm not the type to get a new phone every year just because I don't care about having the latest and greatest thing. I like my stuff to work for years. Its also nocibly bigger (screen size) lighter and thinner than the 5C i had. has a one hand function which is nice because of the bigger screen its harder to use with one had but there is a function to down size the display for one hand operation.There's a nifty feature I didn't notice but I eventually turned it off as it became annoying. Basically it has a sensor that assumes its in your pocket if its dark and turns off the display which is frustrating in dark rooms/areas/cars when lighting is minimal. Just turn it off, its meant to save battery and stop you from activating apps while in a pocket or purse I guess.4 Stars because a perfect phone wouldn't need a case, would be shatter resistant and shock proof as well as water proof absent of a case. Its annoying that guerrilla glass exists and sealing off the phone from water is possible yet a big company like Samsung doesn't automatically do it, at least not on this model. I got it refurbished and it was like new. I don't believe in 5 stars unless there is nothing that can be improved upon but there are some things that could be and that's why it loses a star. Otehr than that great phone and very customization down to battery saving features.
            "
"40","The phone works and seems ok..its a bit glichy and the screen has an image burned into it.  I tried contacting the seller about it to no avail.  No response. Its not worth the hassle to raise a big stink..i just live with it.  I have bought refurbished phones before, and been very happy.  I am less than impressed with this one.
            "
"41","Phone does not keep charge keeps freezing and shutting down this seller is selling bad refurbishing phone's that are not working save your money and headache DO NOT BUY  gave this phone as a gift and im seriously embarrassing for me
            "
"42","arrived on time, setup went perfectly. the phone itself was in near mint condition (and it was the ""good"" condition option) the only thing that pointed to it being used was slight scratches around the charging port but nothing very noticeable at all. super fast, great camera, clear screen, etc. all around great phone. this particular one was from ""BREED"" btw
            "
"43","returned the phone the day after receiving it because you could not hear out of the earpiece. it has been 4 weeks and still no reply to emails or refund. unable to find any working number!
            "
"44","I recently switched from AT&T to Verizon but my current phone was an AT&T exclusive phone so I needed to purchase a phone that was supported by Verizon. I read the reviews and decided to go with the ""certified refurbished"" Galaxy S6. The phone was delivered later than expected. When I took the phone into Verizon, they could not find the phone in their database. They told me usually with certified refurbished phones, they'll have a barcode that can be scanned to find the phone. Even though this phone had Verizon written on the back and when you turned it on, Verizon could not locate the phone to activate it on their system. On top of that, when the Verizon representative researched the phone, it came up as an S5 not and S6. I am definitely returning this phone. My fiance bought an S6 as well, and even though they were able to find his phone in the system, the phone went into an infinite loop and would not go past the start up screen. He didn't even get to use the phone at all so he'll be returning his as well.
            "
"45","Not at all disapointed with this product. Received in very good condition; hard to tell it's used. Easy to set up and once I switched frequency, SIM was recognized and registered to local network without a hitch.
            "
"46","recieved this phone and right out of the box it had loud camera sounds from the lens when it automatically focuses. I called support they told me to turn off shutter sound. didnt fix the problem. then the next day, with full battery, ten min later It was down to 17%. now the screen keeps flickering and going from 100% to 3% in a matter of minutes. putting it in the box to return. waste of money
            "
"47","Cosmetically in great condition I bought a refurbished Samsung galaxy S6 phone just 3 months ago. It worked fine until today.  It has a frozen Verizon screen and will not shut off or reboot though I tried 3 times following instructions on line. I removed the SIM card and put back in several times. I took it to 3 phones stores and 3 people tried to help me but it is unfixable. Everything is lost and locked in my frozen, dead phone. I spent 200$ on that phone and it only worked for 3 months. It was not worth it at all.!!  I am out of my 200$ and have no phone.
            "
"48","The center/home button stopped working after 30 days, the blue notification light does not work, and the screen has a glitch when scrolling through text messages, also has a glitch when you look at the screen in the dark. The phone ALWAYS says extended network and i can hardly make/recieve calls/messages. Its not the carrier because this is the only phone that does this. Its as if its incapable of connecting to any signal. I've never had problems in the past but this phone is the worst refurbished phone I've ever purchased.
            "
"49","Exactly two days after the return date (30 days) it stopped charging wirelessly and within a couple more days it stopped rapid charging. Absolutely not worth the hassle to buy a refurbished device. I am now out a couple hundred dollars and I have to buy another phone.
            "
"50","It froze on me when I was setting it up. Couldn't do anything. Ended up having to do a factory restart on it and reset it back up again. The battery dies way too quick. I think if your on it just messing around it may have a battery life of about 2 hours? I bought it it for my son for his birthday. It shipped in about 2 days.Update just gave my son this phone for his birthday and I showed him how to change the background and it froze again. Why? This phone is crap!
            "
"51","Product is defective. I contacted the company but they ask me to send it back. Due to the fac that I need a phone and can¡¯t send it back is hard for me to get a replacement.The phone keeps on asking for updates even after you update the phone. My pictures always come out blurry and I¡¯m unable to swipe and look at the pictures I¡¯ve taken.The only reason I gave it a two is because it makes and receives calls pretty good.
            "
"52","Wonderful phone/mini computer!  My only complaint (hence 4 not 5 stars) is that in certain locations the phone coverage is terrible.  These are areas which I have used the same provider for years with never this bad of a coverage.  Most other areas the phone works great in though.
            "
"53","I was a little concerned about buying refurbished, but, so far, so good! I love this phone! I upgraded from a Galaxy S4 16GB, to this Galaxy S6 64GB, and it's wonderful! Thank you for making these reasonably priced phones available to the public!
            "
"54","I bought two, for my wife and for me, and all I have to say is almost a year after we still have them, great condition, zero problems so far. Very happy with this purchase.
            "
"55","You always gamble with refurbished, dont be fooled. I have returned more than 1 refurbished phone that wasnt quality checked.With that being said my S6 was fine, it's for my daughter. I love my S8 but wasn't going to drop the <U+0001F4B5><U+0001F4B0><U+0001F4B5><U+0001F4B0>. So, a GREAT phone for her, or anyone, but keep in mind it will NOT take a Micro SD to increase memory, I would suggest the 64GB version or an S7.
            "
"56","Good afternoon... The battery for the phone is faulty, so therefore the phone is not keeping charge, and I¡¯m really upset... I need a new battery right away... I need to know if this phone supposed to come with and ear piece, because I didn¡¯t get any... Please send it to this address... I would like for you to email me (careydannielle@yahoo.com), after you send it please.
            "
"57","Nothing but problems with the phone and it also said it was reported stolen.
            "
"58","I bought this S6 to replace my S7 that broke a week after I got it.  Although Samsungs tend to be fragile, this one is holding up fine.  The battery is weak though and is dead within 12 hours with average use.  Additionally, the charge typically goes from 15% to dead in less than 5 minutes, although sometimes it will stay at 5% for an extended period of time--very inconsistent and unreliable.  The charger that came with it is cheap.  Even when I use the factory charger, the phone sometimes doesn't charge properly.  I like the Android operating system, but the battery issues overshadow that.
            "
"59","I waited for two months after the exchange policy to set up the phone.  And it was dead..battery charge symbol comes up and that's all.  I'm screwed, of course, but if I can keep others from buying this phone, then I'll give it a shot.  Oh, and don't buy the warranty either. It's worthless.
            "
"60","Phone is garbage to say that every phone is inspected is a lie. Ordered this phone for my son for Christmas and when he opened it on Christmas morning he went to turn it on and the phone was completely dead so we went to charge it up with the supplied cord and it wouldn't work so we had to use a cord we already had. After the phone completely charged we went to turn the phone on and it is stuck on the Verizon screen.
            "
"61","This battery is so bad i dont think the energizer bunny could help it. Phone was pretty good but sending back because i dont sit at a desk all day that i can keep it charged
            "
"62","Great phone. Works well and was definitely a quality product for the price. We've actually ordered 4 of them in the last year because we've broken them (cracked a couple screens, went swimming with one) but liked them so much we ordered another.
            "
"63","I received the original S6 only to learn it didn't want to stay connected to the cell phone tower nearest our house. So I called the support line and got a replacement. The replacement work for a total of about 3 weeks before encountering the same issues. Now I am unable to return the phone for a refund even though the second one is still under its warranty and I am unable to get it replaced because the support link has been disabled. Do not buy an S6 it will not stay connected to your local Tower
            "
"64","This item stopped working about 10 hours after it was charged. The screen went completely blank and could not be turned back on.  The charger piece was used and barely fit with the charger.  I returned this right away and now more than a week later I have still not been refunded
            "
"65","Only had it a few days, but so far have been very happy. Arrived quickly, unit works. I took it to my Verizon store and had them do the transfer of information (no cost). It was a very simple way to get a new phone. No problems at all!
            "
"66","Set up was easy and quick and have not had a problem with the phone.  Seller description of product was dead on.only had phone about a week, all in all everything is great.  Should I have any problems will repost.  Very pleased.
            "
"67","So far this phone has locked up on me 4x ... So in my opinion it's a piece of scrap. And I don't believe it was completely refurbished, because there were still apps on that didn't come with the phone. And other things that the phone remembers that shouldn't be there.
            "
"68","It is full of ad software. Right in the middle of doing something on this phone I have to sit through a 30 second ad which I  can't get out of before returning to what ever I was doing. It i infected with adware. No battery life either and the local repair shop charges $80 for a new battery
            "
"69","I wanted a Verizon phone, not expensive, but with sufficient memory. This fits the bill. It works great but I cannot determine whether battery life/drain is normal or excessive. BT or Wi-Fi seem to drain it faster than a less capable phone. Refurbisher cannot comment other than battery is checked.
            "
"70","I've not had this phone a month yet. For some reason I can't use the charger that came with it. It will barely charge if I put it on a wireless charger and it doesn't keep a charge through the day when I'm barely on it. I want to return it but my only option is to return it and not get the money back until 5 business days after they receive it back plus be without a phone. I would not recommend this to anyone.
            "
"71","Although, battery life goes quickly due to how I use it, it has amazing camera quality  and settings I love with adequate photo editing!The screen quality ha bested most of the phones I've had. Thank you very much! ^_^
            "
"72","I ordered this phone to put it on my straight talk plan. Phone has worked great and I have had it for about 3 months. I have also ordered a second phone for my husband and he has also not had any issues with his.
            "
"73","This phone rock, had the gs4 and it finally melted in my pocket after 3 years of use, decided to buy a refurbished gs6 instead of the new gs7 or 8, this phone looks like brand new I'd never know if it wasn't refurbished.  Would highly recommen these guys thanks again!
            "
"74","Not great. It has had charging issues from the start. It will probably go into the trash soon
            "
"75","The phone is nice, but I have had repeated ""No SIM card detected issues. I ordered from Breed and the issue is intermittent  so it could have been missed in Quality Assurance. I am returning and have ordered a replacement.  I will update review after hearing from customer service.
            "
"76","I purchase this phone and it did not state anywhere that it was a locked phone so I'm very disappointed
            "
"77","So my old phone was dying by degrees, replacing it with a new one, now that the phone companies don't subsidize was not monetarily feasible.  This refurbished phone has made life so much easier.  It charges in a flash, and makes my work/on the go entertainment so much easier.  For some reason it took me a long time to think of getting a refurbished model, but no regrets.  Works as well as a new phone and isn't ridiulously costly.
            "
"78","NEW phone - same problem.  I spent over $200 on this product and it just decided one day that it was not going to work.  Now I have to come out of pocket again for yet another phone, since the Verizon store told me there was nothing they could do for me.  I've never had a problem with phones until this one.  Waste of money and very dissapointed
            "
"79","Great value for the price. Phone like new, only downside the battery life is poor...seldom can I go a whole day without getting below 50% down.
            "
"80","Works better than the one I lost, because it has a new battery. Can't beat the price and reliability.
            "
"81","Beautiful phone, horrible battery life and reception.
            "
"82","It worked like a top of the line phone. Lighting fast, run dreamcast emulators on it and in the process of getting gamecube emulator working. But I dropped it after delaying getting a case and I cracked the whole back side of the phone. It didn't work as fast and ok google doesn't always pick up voice anymore. It has recently started running a little faster though. 5 stars cause it's my fault it got hindered
            "
"83","Had this phone only 5 months and it completely died after fairly light use. Unable to even get it to turn on now. Even prior to this the phone was working terribly. Got locked up all the time and Would only respond again after a reset. Many of the basic functions (like the keyboard, camera, and email) would suddenly stop working mid-use. Terrible phone and a total waste of money.
            "
"84","Really pleased with the samsung s6 refurbished phone, have experienced no problems. Would highly recommend this phone for anyone searching for a goid buy.
            "
"85","Its a shame that products like this are up to sale in AMAZON. The phone worked for just 16 days until sudden death happened. My money was stolen by this provider and AMAZON for sure has he¡¯s amount of guilt by not supervising the product.DO NOT WASTE YOUR TIME AND MONEY IN PRODUCTS LIKE THIS. And more than that I won¡¯t trust AMAZON as I use to!!!
            "
"86","Honestly, I was pleasantly surprised! Looks like new. My 10 year old broke his $600 moto z droid and we replaced it with this! He loves it! Switched SIM cards and was up and working in minutes!
            "
"87","I'll never buy one refurbished again.... over heats will not call out or receive calls...¡¦¡¦¡¦. just a peace of -------.
            "
"88","After a lot of research and due to his limited budget, my son who is heading off to college chose this make/model and is very pleased with this refurbished phone. It looks new and he thinks it works great.
            "
"89","Perfect for teenager on straight talk.  No issues or concerns.  Good battery.
            "
"90","The phone looked beautiful but It had issues with person on the other end hearing me. I ended up returning it. I didn't have time to get it fixed, neither should I have had to since it was supposed to be completely functional.
            "
"91","I bought this phone in June and it's now November. At the 3 month mark it started trying to update and I would run the update for a half hour and when it was done, it would tell me to update the software. It also overheats and powers down and restarts itself 2-4 times a day and when it restarts it can take several additional restarts to actually function or run any apps. I've taken it to Verizon and was told i was scammed and sold a bad phone. Don't waste your money, it will barely survive the warranty.
            "
