"","x"
"1","The US Warranty listed is not valid.  When I received my phone, I tried to register it on the Samsung website and received the error message: ""Possible reasons for the error include serial/IMEI number is not valid, product is older than 3 years, product was purchased outside the U.S.""Contacted Amazon, and a replacement phone was sent out.  When I attempted to register it, I had the same problem.  After spending an hour with Samsung customer service per the number in the warranty listing, the phone does NOT have a US Warranty available.
            "
"2","I bought this in September of 2017 and absolutely loved it. Then they pushed an update for Oreo about 6 months ago which caused the phone to no longer allow Bluetooth control of streaming services through my vehicles head unit. I waited for a fix. I looked online, and tried everything from factory resets to changing developer mode settings, updating the firmware on the head unit, contacting Pandora's tech support. Samsung's solution is for me to send it (my only active phone) in, and wait a week or two with no phone so they can send me a refurbished one... with no guarantee that it will fix the issue. Yep, I send them a phone that was purchased new, go without a phone for two weeks, and then they'll send me back a 'refurbished' phone potentially with a scratched up screen and poor battery, that will likely not fix the issue since it is clearly a software problem. I used to swear by Samsung, but I can no longer recommend Samsung to anyone based on my S8 not working properly for 2/3 of the time I've owned it. I currently own the following Samsung devices, Galaxy S3, S4, S5, S6, S7, S8, Gear, Gear S Nano, Samsung Refrigerator, and a Curved 4k TV. I say this so you know how much I have enjoyed Samsung in the past. If they release an update that breaks something, their expectation is that you'll just go buy a new one - I've given them 6 months to fix what they broke in the Oreo update and they haven't done it... they haven't had any trouble though pushing their new phone. No thanks. Now as items stop working I will make sure to avoid Samsung.
            "
"3","The Samsung Galaxy S8 I was shipped had model number SM-G950F, which is the international version of the phone, not the US version as specified in this item.I recently got lines of dead pixels in my S8 and Samsung refuses to pay for it because the international version of the phone does not have a warranty coverage as promised in this item.
            "
"4","I was skeptical about buying this phone off Amazon instead of Verizon because the reviews were half good, half bad as far as activating it on the Verizon network.  My advice is dont go to the store and activate yourself on their website.  It takes just 5-10 minutes.  Just make sure to have a Verizon nano SIM card, I was able to use the one from my iphone 6.  Transfer your contacts, music etc on their app as well, it's very easy.  Other than that the actual phone is great.  Very sleek looking phone.  This phone is $756 at Verizon and they try to sell their payment plan to you but I would much rather pay the cheaper Amazon price and keep my phone bill lower.  If you're on the fence like I was I hope this review can help you out.
            "
"5","This review is coming from a long time Apple user. After years of drink the koolaid I decided to make a change.Upgrading from the Apple ecosystem isn't easy as it is a big change but this phone is incredible. It may not be a 2018 flagship but it is still great.CAMERA: the 12 megapixel camera is clear and bright. It does not take the best low light pictures but as good if not better than other flagship of 2017. In daylight this camera shines and is excellent.SCREEN: Samsung has a always had the best quality smartphone screens. The infinity display is something to get used to but the super sampled display is no different. The colors are bright and vibrant. When the display is set to 1440p (factory defaults the display to 1080p) is crystal clear and watching videos or photos it will blow your mind if you compare it to comparable smartphones.DESIGN: The infinity display and glad back are a very elegant design, while allowing for great features and one not so great.FEATURES: This phone most of the features of 2018 flagships. Fingerprint scanner, face unlock and iris scanner. The only thing is the placement of the fingerprint scanner is in less than a desirable location. Being right next to the camera lens it is very easy to smudge it when reaching for it, but the face unlock is very reliable and extremely fast so you have options.Due to the glass back the s8 has wireless charging alongside Samsung's fast charging system allows for easy and fast charging anywhere.HARDWARE: The snapdragon 835 with gigs of ram may not be the latest and greatest but for multitasking and everyday tasks are seemless. Gaming is also fast and smooth. It's no razor phone or note 9 but it is more than capable.All in all this is  great smartphone and is defintly worth your consideration if you can't stomach 1000$ for a phone.
            "
"6","Just after my support ended, my screen seems to have begun having a hardware issue. Horizontal lines have begun appearing, and it looks to be a hardware issue. Pretty disappointed that the Amazon support does not last longer considering I've seen multiple posts online about this being an issue. I haven't had any drops or water issues with the phone, so it looks like the AMOLED screens become defective after a certain time potentially.  Note that if you contact Samsung about this, they will require you to send your phone back, which can be a problem if you do not have another phone to use during that time. Buyer beware!
            "
"7","I am honestly astounded by how beautiful and advance this phone is. Coming from an iPhone 6s, this is truly an upgrade worth getting for the price.Firstly, the screen is absolutely the best you can get on the market on any phone right now. It has a beautiful 5.8"" Quad HD+ Super AMOLED (2960x1440 resolution). This makes the colors, contrast, and blacks more vivid and pure.  The pure black is pixels turned off when they aren't needed. This gives an amazing black color and helps a bit with the battery not needing to display extra pixels. The screen also employs Samsung's ""Infinity Display"". This creates a nearly bezel-less design on the front screen which gives can provide more information on the screen. They have removed their physical buttons, but it's really noticeable after a few minutes. A feature that I have come to use quite a bit (with widgets and fast opening of certain apps) is the Edge. I am very glad they've introduced the Edge screen onto the regular S series. If you don't prefer it, you can also turn it off. Samsung has also added an Always On Display. This shows the date and time along with notifications you receive. This doesn't consume hardly any battery life (with only losing around 1% an hour)Software: Out of the box, it runs Android 7.0 (Nougat). It also does come with Samsung's 'controversial' TouchWiz skin. However, they've greatly improved the experience and fluidity of the software. I have not noticed any lag with using it for some time now. It's responsive and I personally enjoy the look of it. You can always download different launchers to your liking. S8 users should be able to get Andriod 8.0 (Oreo) within early next month.Hardware: this phone sports 64gb (along with MicroSD slot of up to 256gb of expandable storage) and 4gb of RAM. I am really happy with the amount of RAM and space that's offered. With my iPhone, I've always had to load up the pages I was on again due to the low RAM, along with the very disappointing 16gb of Space (12gb in usable). This limited to using my old phone for daily news and chat apps, while hardly being able to play many games. This is definitely not an issue with the S8! I've downloaded many things that I previously couldn't and I still have a beast amount of storage left. It's also IP68 certified dust and water resistant.Charging: I love the Adaptive Fast Charge that Samsung offers for their products. It charges my phone quickly without it getting hot. The battery capacity is 3000mAh and fast for hours. I can go around 4-6 hours of Screen On Time while going around 12 hours in general. I am very happy with this as regular charging seems quite dated to have it on any (premium) phone.Camera: This Camera is truly beautiful and very detailed. I am surprised by how much I am using it. The photos are clear and crisp all with just one snap. Selfies are also detailed and great to look at. 8MP AF for Front and Dual Pixel 12MP AF for the Rear.Security: The S8 employs two different biometrics for unlocking your phone (along with the regular number/line password). The one we've known for some time is the fingerprint scanner (to which they have moved it right next to the camera. This is not a preferable location as I do hit the Camera often) and the new Iris scanner. The Iris scanner has been quite convenient, though you do have to be a bit close (and in light) for it to work.Voice Command: Samsung has added a new 'Bixby' to their phone line that is to be used similarly to Amazon's Alexa, Apple's Siri, and Google's Assistant. There is a dedicated button on the left side of the phone that allows for Bixby to hear your voice for your questions/command. This button will also open Bixby home, which shows some news, events, personal widgets, and Bixby 'levels'. That is right, you can increase the levels gained on Bixby by using it and helping it with feedback. This doesn't lock you behind any level requirements to use it to the full. This only allows customization unlocks. This has been a controversial feature so far (as many find it unnecessary), though I have been fairly enjoying it. I really use it for screenshots. If you don't prefer it, there are apps to redirect the Bixby button to use it for other apps.Overall, the experience is astounding and I wouldn't trade it for anything else really. This is a phone that will feel premium for years to come. If you're holding out, don't wait! It's an experience unlike any other.NOTE: I have covered the broad specs of the S8, however there are also smaller details that you can view on Samsung's homepage if you want all the specs and information.
            "
"8","7 mounth after  buyingTerrible purchase regret it will never buy a Samsung device in my life !!!!Battery life the worst ever phone needs to be charge 3 to 4 times a dayCharging port doesn't work any more !!!Phone has to be charged with wireless chargerPhone heats up while chargingPhone is slow since day one !!!Use to have galaxy s 7 edge, and to be honest it feels like i downgrade to s8 just stay away Samsung's customer service are not willing to do anything but to make me send my phone without giving me any loan phone or device to use in the meantime just doesn't make senseMy suggestion Samsung learn from Apple!!!!
            "
"9","I did buy this phone NEW and FROM Amazon just FYINow I know the quality of the product has nothing to do with Amazon so this rating is obviously for the product specifically.I even noticed that someone had the same problem with the phone that I did.It completely died after owning it for about 3 months. I did not do anything to the phone other than add a micro SD card (which is allowed with this device) and it worked fine ever since I bought it.However Amazons warranty is not so great. Samsung does offer a 1 year manufacturers warranty on NEW items. The CSR (Customer Support Representative) was helpful and straight forward. You do have to ship the phone to them, but they will email you a paid for shipping label (Print 3 to place on 3 sides of the box). Excluding the shipping time, maintenance and processing will take 9-11 business days. Obviously no one should have to deal with this in the first place, but I just want a helpful review if someone has a bad situation happen to them like I did. Samsung's CSR is 866-371-9501. Follow the menu prompts and you will get the option to speak to a CSR (it can get annoying waiting through all the options but you'll get there)
            "
"10","In less than 8 months, the call volume on this phone no longer works.  After numerous hours on the phone and at an authorized service center, it was determined that it is a manufacturers defect.  Customer support from Samsung was not helpful.  I have to send the phone back to Samsung to be repaired; and although the phone is under warranty Samsung support refused to provide a loaner and told me I have to wait 2 weeks for the phone to be repaired.
            "
