"","x"
"1","This is both a 1 star and 5 star review. Beware, not all refurbish companies are created equal. I purchased 2 Samsung Galaxy S7's. A black one for myself and a gold one for my wife.-The gold phone was refurbished by Exclusive Electronics and the workmanship was horrendous. The home button was replaced with a very poor quality aftermarket button, they installed it crooked and it looked as though they painted it gold with finger nail polish. The finger print bio metrics (which is built into the home button) did not function properly. You had to try 4-5 times to get it to unlock, every.... single.... time..... It kept giving a message to ""wipe home button"". I cant wipe off the gold finger nail polish!  Secondly, now i cant explain how they screwed this up, but the word Samsung on the back was crooked and off center. Now this isn't something I wouldn't have cared about had the phone worked properly, but again, it goes back to craftsmanship. Ok, so now I've popped in the sim card, booted the phone up, went through the set up process and guess what! More problems. There were occasionally light/color waves that would travel across the screen. It failed a simple Samsung security update 6 times before I finally got it to work by doing through my computer. Oh and it would constantly drop service and just show an X next to an empty signal bars triangle. I'd set my identical phone next to hers, on the same Verizon network and I would have full bars and 4G LTE data. Lastly, they also provided a cheap aftermarket charger. The charger was extremely hot after being plugged in for only 20 minutes, and of course it didn't support fast charging.Now, onto the black phone. This one was refurbished by Vius.-phone looks and works like brand new. Battery lasts all day. They provided an OEM Samsung charger, it works properly and supports fast charging.I called Exclusive Electronics to get a replacement sent out and their message said they opened at 10 am. I called several times starting at 10 am and no one turned off the auto message so the phone wouldn't even ring until 10:30. They must have had to stop off for more gold nail polish on the way to work.I was provided 2 options for solve the issue: Option 1: send the phone back to them, and they would send out a replacement, leaving my wife without a phone for at least 5 days. Option 2: Buy another phone, wait to receive it, and then return the defective item to them, tying up yet another $320 on my account.I chose option 2, purchased a gold Galaxy S7 from Vius, and guess what, phone looks and works like brand new. Battery lasts all day. Provided and OEM Samsung charger, works properly and supports fast charging.
            "
"2","When we got the phone, the previous owner's information was still on the phone. That was bad enough, but now, after just 4 months, the phone has crashed and is completely dead. Even though the phone appears completely fine, hasn't been dropped, and hasn't been wet, Verizon employees said it was done. Unless this seller follows up and something changes, our recommendation is to avoid them.
            "
"3","This cell phone was available from a number of different sellers, with mixed reviews across the board, and almost the same pricing.  I opted to go with Dealfisher and  was very pleased with the entire order process.  See a ""seller review"" separately.  As far as the phone goes, I was a little bit hesitant at going with a refurbished unit, but it was almost $250 cheaper than purchasing new from Verizon.  I'm glad I took the chance.  The phone is to any non-technical examination brand new.  Not a scratch, rub mark or any other discernible indication that it has ever been used before.  It did NOT come with a sim card, or memory card, but that was clearly indicated in the product description.  What I did not know was that the Galaxy S5, that I was replacing, has a ""micro sim card"" and the Galaxy S7 (the new phone) has a ""nano sim card"".  They are NOT the same.  That's the bad news.  The good news is that my local Verizon store (NOT and authorized vendor, but a ""real"" Verizon store), installed a new nano card in a couple of minutes and then, since they weren't busy, cross loaded all of the contents from the old phone to the new...at NO cost!  It can't get better than that.  By the way, the memory card IS the same for both phones.  Hope you get the same great results I did.  Cheers...Ed B.
            "
"4","Phone looks and acts like it's in absolute brand new condition. My phone came with they legitimate Samsung fast charger, USB converter too store information, and a set of really nice Samsung earbuds. The only thing that doesn't scream this is brand new phone is that it came in a plain white box and cost $250 less than new!
            "
"5","The phone is missing the Verizon Voicemail app.  And spoiler alert you can't add it.  According to Verizon support it is something that has to be added when the phone is first configured.  Also per Verizon they say this means its not really a Verizon phone, its just a phone that will work on the Verizon network.  Ultimately what this all means is you can't tell if you have a voicemail, how many voicemails you have, who they are from or when they were left.  You have to dial the voicemail number and then listen to each message in its entirety and then check the info on the voicemail to get any info about it.  For someone who lives their life by their phone this is a no go.  If this would have been disclosed in the product description I would have picked another phone.
            "
"6","Certified Samsung refurbished phone had many problems out of the box. After-market accessories, charged very hot, screen had a light 1/3 section that jiggled, black colors were green, speaker cut in and out, mobile reception strength started out half of previous phone and decreased to near zero.  I would rate this refurbish very poor quality. I give this less than a star.
            "
"7","The phone was supposed to be an upgrade in terms of performance and battery life.  From the start, we disabled a number of apps we didn't need (SHealth, etc) to ensure the best battery life, but it rarely lasted my wife until mid-afternoon with light usage.  Recently the phone has started dying with no notice when it hits 30-60% battery (see screenshot).  We've tried doing a factory reset, clearing the cache, everything I've found, but still have the problem.Worst tech decision we've made - and of course the problem only became true failures after the return-window closed.
            "
"8","Specifically looked for listing of Verizon phone and paid extra to get it before work on Monday. Went to activate at the Verizon store and found out this s7 works on the AT&T network! Called number for dealfisher a couple times and only got voice mail. Returning phone and not happy!
            "
"9","Not truly unlocked. Went to several carriers and none have been able to activate the phone. Sending back.
            "
"10","1st, verizon tech tried 2 new sim cards would not work. put sim card in from my iphone 7 & phone activated, not supposed to. 2nd, unknown apps from europe & netherlands constantly trying to download, this went on from 8pm to 6am when i shut phone down.  was 100% charged @ 8pm & down to 10% @ 6am.  It would not do screen shots.  Verizon tech & i tried to put phone in safe mode & this would not work, i could go on & on, it cost me my time @ verizon store 2hrs, plus time re-downloading all my apps, ring tones.  for a company that showed 99% reviews favorable what a scam.  additional cost of zagg screen saver & protective case.  also time on face of phone kept rocking between pt to military time, wierd, plus giving bogus local temp.  110 outside phone showing 76. Ordered wireless charger to go with phone,  tried to save some$ but in the long run ordered new from verizon.
            "
"11","I purchased this phone for my mother because she was due for an upgrade.  The phone arrived and it's appearance was immaculate.  Charged immediately and appeared to work well until the power button on the side caved in and is no longer functional.  We've already purchased and applied the new tempered screen protector, and moved all of her contacts, photos and accounts  which we'll have to do again and unfortunately her old phone was sent for recycling so I had to purchase another phone to replace this one before I can return this one.
            "
"12","LOVE the phone, but unfortunately the first one I was sent was defective.  After about 400 phone calls, I finally got my hands on one that WORKS properly and I'm in love. Never thought I'd be happy to leave Apple, but I definitely am!
            "
"13","*Edit: About 45 days in, the phone stopped charging, completely bricked it. If that wasn't bad enough, the next morning the charging port actually started smoking. This could have happened while I was sleeping. Sending it in, I'm told that I'll get a full refund, and I'll post if there are any problems with that. Regardless, this is absolutely disgusting. My child's photos and videos are on that phone, so we can't get those back. A refund (under warranty) seems minimal at best, seeing how the phone is going to cost me precious memories, missed business calls until I get a replacement, and could have potentially caused serious damage had it caught fire. Learned my lesson.*Original Review (5 stars): I was a little apprehensive towards purchasing this phone after reading some of the reviews, but my phone came perfect. Mine was refurbished through Kiss Electronics Inc, and it came with the wrong charger ($8 on Amazon) and the paint was starting to come off of the fingerprint scanner. I haven't noticed anything wrong with the speakers, the battery works about as well as expected, and the phone had no problems getting on the Verizon network after I got my SIM card. No complaints so far, will edit if something happens!
            "
"14","Update: after rebooting the phone 5 times and doing a system update I was finally able to use the fingerprint sensor to unlock my phone. I should not have had to go through all that frustration,  but I think I may have fixed the problem.  :(I would give this company zero stars if I could. I received the phone and when I put the sim in I keep getting a notification that unauthorized actions have been detected. Because if this, I cannot use many apps, including the fingerprint security and Samsung¡¯s own Health app. I have restarted the phone to no avail. I then did a factory reset and that didn¡¯t work. I still get the same message. This phone is a piece of you know what. I am sending it back for a full refund. Unfortunately, this company will probably just send the defective phone to the next person who orders one so buys beware! <U+0001F621><U+0001F92C>
            "
"15","For what it's worth, I bought my phone from DealFisher and it was great. Battery is very strong and only one or two minor scratches that suggest this thing was hardly used. It was no trouble getting this phone switched over to my existing Verizon service. Last thing to note was that my package just included the phone and charger without any other extras. That's fine with me. Just happy I got a good one!
            "
"16","Great phone overall when battery isn't dieing. Purchased this phone thinking it was great deal since it was refurbished. However my battery life is horrible phone dies in like 2 hours. I need to get a battery replacement now. Phone performance is good and has very nice camera. I'm just a little salty because In Constantly having to charge my phone.**** I had to get different phone battery was horrible feel ripped off
            "
