Formatted Date,Visibility
2011-05-21 190000.000 +0200,10.387905935385655
2011-05-21 200000.000 +0200,10.19535679064662
2011-05-21 210000.000 +0200,12.26620341002514
2011-05-21 220000.000 +0200,15.068595533933541
2011-05-21 230000.000 +0200,15.00705768999128
2011-05-22 000000.000 +0200,15.585640163253204
2011-05-22 010000.000 +0200,13.91402742873095
2011-05-22 020000.000 +0200,12.803035099128362
2011-05-22 030000.000 +0200,13.13200353388843
2011-05-22 040000.000 +0200,13.87851063287172
2011-05-22 050000.000 +0200,11.377033261871054
2011-05-22 060000.000 +0200,11.026932987119896
2011-05-22 070000.000 +0200,10.339315531328687
2011-05-22 080000.000 +0200,10.13568508389332
2011-05-22 090000.000 +0200,10.056268537348565
2011-05-22 100000.000 +0200,10.55522787722331
2011-05-22 110000.000 +0200,10.854781944571242
2011-05-22 120000.000 +0200,10.782043705691024
2011-05-22 130000.000 +0200,10.533081860872691
2011-05-22 140000.000 +0200,11.502163808947053
2011-05-22 150000.000 +0200,10.188161577859107
2011-05-22 160000.000 +0200,10.093674626303779
2011-05-22 170000.000 +0200,10.35277815093887
2011-05-22 180000.000 +0200,11.013046325087233
2011-05-22 190000.000 +0200,10.496554330510104
2011-05-22 200000.000 +0200,10.452077994633633
2011-05-22 210000.000 +0200,11.13085110157536
2011-05-22 220000.000 +0200,14.51560881688973
2011-05-22 230000.000 +0200,13.697499623600432
2011-05-23 000000.000 +0200,11.843748371947703
2011-05-23 010000.000 +0200,13.285715008243155
2011-05-23 020000.000 +0200,9.896522858158306
2011-05-23 030000.000 +0200,12.066120601834736
2011-05-23 040000.000 +0200,12.33273894791814
2011-05-23 050000.000 +0200,11.391523553829048
2011-05-23 060000.000 +0200,8.802250090955978
2011-05-23 070000.000 +0200,9.79396801120088
2011-05-23 080000.000 +0200,9.928385819570769
2011-05-23 090000.000 +0200,10.14291770065238
2011-05-23 100000.000 +0200,10.213922580713865
2011-05-23 110000.000 +0200,10.877135828365336
2011-05-23 120000.000 +0200,10.480582123565375
2011-05-23 130000.000 +0200,10.571438525444687
2011-05-23 140000.000 +0200,11.094192159580295
2011-05-23 150000.000 +0200,10.76215355760821
2011-05-23 160000.000 +0200,10.70327356797454
2011-05-23 170000.000 +0200,10.809259544663314
2011-05-23 180000.000 +0200,11.522169361949862
2011-05-23 190000.000 +0200,10.761553209369945
2011-05-23 200000.000 +0200,10.256851771177477
2011-05-23 210000.000 +0200,11.556911250441823
2011-05-23 220000.000 +0200,14.343471010759306
2011-05-23 230000.000 +0200,14.328986060334925
2011-05-24 000000.000 +0200,14.851257659003618
2011-05-24 010000.000 +0200,12.493040935900115
2011-05-24 020000.000 +0200,11.149952774931034
2011-05-24 030000.000 +0200,10.271557455740384
2011-05-24 040000.000 +0200,11.784513823655525
2011-05-24 050000.000 +0200,10.339126008411304
2011-05-24 060000.000 +0200,8.56326839663954
2011-05-24 070000.000 +0200,9.573793765648015
2011-05-24 080000.000 +0200,9.997334200871695
2011-05-24 090000.000 +0200,9.835025108354461
2011-05-24 100000.000 +0200,10.239776229394657
2011-05-24 110000.000 +0200,10.823665788003598
2011-05-24 120000.000 +0200,10.68637446821404
2011-05-24 130000.000 +0200,10.965948958096028
2011-05-24 140000.000 +0200,10.572786639052797
2011-05-24 150000.000 +0200,10.70611468193966
2011-05-24 160000.000 +0200,10.232705732183636
2011-05-24 170000.000 +0200,10.392601820353608
2011-05-24 180000.000 +0200,10.902055132787183
2011-05-24 190000.000 +0200,10.238151394229337
2011-05-24 200000.000 +0200,10.581175913590643
2011-05-24 210000.000 +0200,11.423511977480683
2011-05-24 220000.000 +0200,15.443873487151347
2011-05-24 230000.000 +0200,14.150973708487589
2011-05-25 000000.000 +0200,12.573406977847872
2011-05-25 010000.000 +0200,11.146257079227205
2011-05-25 020000.000 +0200,12.75635867159001
2011-05-25 030000.000 +0200,9.955140731060302
2011-05-25 040000.000 +0200,9.445582940683089
2011-05-25 050000.000 +0200,10.880402700237653
2011-05-25 060000.000 +0200,8.97047839232089
2011-05-25 070000.000 +0200,9.52263482096835
2011-05-25 080000.000 +0200,10.313388070529827
2011-05-25 090000.000 +0200,10.464358615197543
2011-05-25 100000.000 +0200,10.355885061056368
2011-05-25 110000.000 +0200,11.139502557716229
2011-05-25 120000.000 +0200,10.947620946001251
2011-05-25 130000.000 +0200,10.868261373322953
2011-05-25 140000.000 +0200,10.437229867447273
2011-05-25 150000.000 +0200,10.459511627862758
2011-05-25 160000.000 +0200,10.416746650165202
2011-05-25 170000.000 +0200,10.350401985088995
2011-05-25 180000.000 +0200,10.470285684174629
2011-05-25 190000.000 +0200,10.436830223438369
2011-05-25 200000.000 +0200,10.541194558116493
2011-05-25 210000.000 +0200,10.929321903931022
2011-05-25 220000.000 +0200,15.513405424063741
2011-05-25 230000.000 +0200,15.045928853632176
2011-05-26 000000.000 +0200,15.07218337365988
2011-05-26 010000.000 +0200,12.33764179915353
2011-05-26 020000.000 +0200,11.803480389338823
2011-05-26 030000.000 +0200,12.91091021075603
2011-05-26 040000.000 +0200,13.307153140153067
2011-05-26 050000.000 +0200,13.073586321411312
2011-05-26 060000.000 +0200,10.950647162770824
2011-05-26 070000.000 +0200,10.124147343802745
2011-05-26 080000.000 +0200,10.571591259748155
2011-05-26 090000.000 +0200,10.014571617761357
2011-05-26 100000.000 +0200,10.365096740075437
2011-05-26 110000.000 +0200,10.283127845203946
2011-05-26 120000.000 +0200,10.17490639028932
